Player,Span,Matches,Innings,NO,Runs,Highest Score,Average,100's,50's,0's
AR Morris (AUS),1946-1955,46,79,3,3533,206,46.48,12,12,4
EH Hendren (ENG),1920-1935,51,83,9,3525,205*,47.63,7,21,4
Yasir Hameed (PAK),2003-2010,81,105,4,3519,170,34.84,5,20,3
Shahriar Nafees (BAN),2005-2013,100,124,5,3493,138,29.35,5,20,15
LJ Tucker (IRE),2016-2026,158,151,17,3487,108,26.02,1,20,12
RR Hendricks (SA),2014-2025,128,127,4,3478,117,28.27,2,25,9
B Mitchell (SA),1929-1949,42,80,9,3471,189*,48.88,8,21,3
Taufeeq Umar (PAK),2001-2014,66,105,6,3467,236,35.02,7,17,6
KD Karthik (ICC/IND),2004-2022,180,169,44,3463,129,27.7,1,17,13
M Prabhakar (IND),1984-1996,169,156,30,3458,120,27.44,3,20,11
A Kumble (Asia/IND),1990-2008,403,309,79,3444,110*,14.97,1,5,35
JR Reid (NZ),1949-1965,58,108,5,3428,142,33.28,6,22,5
SA Edwards (NED),2018-2026,155,141,29,3424,99,30.57,0,22,6
C Hill (AUS),1896-1912,49,89,2,3412,191,39.21,7,19,9
YBK Jaiswal (IND),2023-2025,55,79,5,3405,214*,46.01,9,18,8
Aasif Sheikh (NEP),2021-2026,135,134,8,3387,110,26.88,1,23,8
GC Wilson (IRE),2007-2020,188,171,21,3385,113,22.56,1,15,12
WA Young (NZ),2020-2026,98,115,8,3382,120,31.6,4,24,8
M Kaif (IND),2000-2006,138,132,27,3377,148*,32.16,3,20,9
DS Airee (NEP),2018-2026,162,146,25,3366,110*,27.81,2,17,9
MD Shanaka (SL),2015-2026,208,193,32,3351,108*,20.81,2,13,24
Jatinder Singh (OMA),2015-2026,138,137,9,3350,118*,26.17,4,18,6
RG Twose (NZ),1995-2001,103,108,13,3345,103,35.21,1,26,10
K Bhurtel (NEP),2021-2026,139,136,7,3339,115,25.88,2,22,13
A Vala (PNG),2014-2025,132,129,11,3339,104,28.29,1,20,6
CJ Chibhabha (ZIM),2005-2023,150,154,2,3316,99,21.81,0,22,12
JDS Neesham (NZ),2012-2026,193,164,35,3309,137*,25.65,2,11,12
MD Patel (USA),2019-2026,118,110,7,3299,130,32.02,4,25,13
Hashmatullah Shahidi (AFG),2013-2025,110,116,23,3293,246,35.4,2,24,6
TG Southee (NZ),2008-2024,394,302,69,3288,77*,14.11,0,8,40
KLT Arthurton (WI),1988-1999,138,143,25,3286,157*,27.84,2,17,20
FE Woolley (ENG),1909-1934,64,98,7,3283,154,36.07,5,23,13
CC Hunte (WI),1958-1967,44,78,6,3245,260,45.06,8,13,5
H Klaasen (SA),2018-2025,122,117,17,3245,174,32.45,4,16,4
R Powell (WI),2016-2026,168,151,19,3240,107,24.54,2,12,5
MW Goodwin (ZIM),1998-2000,90,107,7,3232,166*,32.32,5,16,5
Virandeep Singh (MAS),2019-2026,114,107,20,3228,116*,37.1,1,23,7
Khaled Mashud (BAN),1995-2007,170,194,37,3227,103*,20.55,1,10,19
VL Manjrekar (IND),1951-1965,55,92,10,3208,189*,39.12,7,15,11
CL White (AUS),2005-2018,142,128,32,3202,105,33.35,2,16,7
VT Trumper (AUS),1899-1912,48,89,8,3163,214*,39.04,8,13,7
MA Starc (AUS),2010-2026,300,252,71,3159,99,17.45,0,14,29
C Green (AUS),2020-2026,96,112,19,3156,174*,33.93,3,15,6
SMH Kirmani (IND),1976-1986,137,155,35,3132,102,26.1,2,12,9
KOA Powell (WI),2009-2021,91,128,1,3130,134,24.64,3,16,12
MG Johnson (AUS),2005-2015,256,217,55,3125,123*,19.29,1,13,27
Babar Hayat (HKG),2014-2026,125,121,15,3123,122,29.46,2,20,11
JJ Crowe (NZ),1983-1990,114,136,16,3119,128,25.99,3,13,12
Shan Masood (PAK),2013-2025,72,110,5,3108,156,29.6,6,17,13
CC McDonald (AUS),1952-1961,47,83,4,3107,170,39.32,5,17,2
BF Butcher (WI),1958-1969,44,78,6,3104,209*,43.11,7,16,3
GS Blewett (AUS),1995-2000,78,109,7,3103,214,30.42,4,17,9
Rashid Latif (PAK),1992-2003,203,174,38,3090,150,22.72,1,10,12
JD Ryder (NZ),2008-2014,88,96,4,3088,201,33.56,6,15,11
Nizakat Khan (HKG),2014-2026,143,140,9,3078,94,23.49,0,15,9
EC Joyce (ENG/IRE),2006-2018,97,94,11,3074,160*,37.03,6,16,5
AL Hassett (AUS),1938-1953,43,69,3,3073,198*,46.56,10,11,1
NJ O'Brien (IRE),2006-2018,134,131,11,3065,109,25.54,1,19,4
J Charles (WI),2011-2026,127,126,0,3062,130,24.3,3,12,18
CG Borde (IND),1958-1969,55,97,11,3061,177*,35.59,5,18,13
Javed Omar (BAN),1995-2007,99,139,6,3032,119,22.79,1,18,7
KR Stackpole (AUS),1966-1974,49,86,5,3031,207,37.41,7,17,5
D Ganga (WI),1998-2008,84,121,3,3029,135,25.66,3,18,14
BC Broad (ENG),1984-1989,59,78,2,3022,162,39.76,7,17,5
DS Smith (WI),2003-2018,96,127,4,3022,108,24.56,2,15,11
MG Burgess (NZ),1968-1981,76,112,6,3020,119*,28.49,5,14,6
C Munro (NZ),2012-2020,123,117,9,3010,109*,27.87,3,19,13
MS Chapman (HKG/NZ),2014-2026,145,123,19,3006,132,28.9,4,14,8
TP Ura (PNG),2014-2024,121,120,9,2997,151,27,2,20,8
DL Houghton (ZIM),1983-1997,85,96,4,2994,266,32.54,5,16,5
Saeed Ahmed (PAK),1958-1973,41,78,4,2991,172,40.41,5,16,2
Sadiq Mohammad (PAK),1969-1981,60,93,3,2962,166,32.91,5,12,6
Mashrafe Mortaza (Asia/BAN),2001-2020,310,264,44,2961,79,13.45,0,4,33
AD Nourse (SA),1935-1951,34,62,7,2960,231,53.81,9,14,3
KR Miller (AUS),1946-1956,55,87,7,2958,147,36.97,7,13,5
GH Dockrell (IRE),2010-2026,292,205,68,2945,91*,21.49,0,8,15
MS Sinclair (NZ),1999-2010,89,108,9,2939,214,29.68,5,12,14
HW Taylor (SA),1912-1932,42,76,4,2936,176,40.77,7,17,2
RW Chakabva (ZIM),2008-2022,132,149,9,2931,102,20.93,2,9,17
J Blackwood (WI),2014-2023,59,105,7,2921,112*,29.8,3,18,7
V Aravind (UAE),2019-2025,111,106,8,2917,115*,29.76,2,15,10
MP Stoinis (AUS),2015-2026,158,134,32,2911,146*,28.53,1,12,7
RP Burl (ZIM),2017-2026,173,158,38,2910,83,24.25,0,10,10
Syed Aziz (MAS),2019-2026,120,114,18,2878,126,29.97,1,20,8
IDS Smith (NZ),1980-1992,161,165,33,2870,173,21.74,2,9,14
WW Armstrong (AUS),1902-1921,50,84,10,2863,159*,38.68,6,8,6
RL Dias (SL),1979-1987,78,91,6,2858,121,33.62,5,19,5
LRD Mendis (SL),1975-1989,103,117,10,2856,124,26.69,4,15,6
Anshuman Rath (HKG),2014-2026,94,93,9,2838,143*,33.78,2,17,4
Samiullah Shinwari (AFG),2009-2022,149,130,22,2824,96,26.14,0,13,3
Imran Nazir (PAK),1999-2012,112,116,3,2822,160,24.97,4,13,15
IK Pathan (IND),2003-2012,173,141,33,2821,102,26.12,1,11,12
MH Richardson (NZ),2000-2004,42,69,3,2818,145,42.69,4,19,2
CB Wishart (ZIM),1995-2005,117,132,9,2817,172*,22.9,3,10,14
BM McMillan (SA),1991-1998,116,114,28,2809,127,32.66,4,13,6
Haris Sohail (PAK),2013-2023,75,84,8,2806,147,36.92,4,19,3
MAK Pataudi (IND),1961-1975,46,83,3,2793,203*,34.91,6,16,7
Sabbir Rahman (BAN),2014-2022,125,128,14,2791,102,24.48,1,14,13
NCL O'Neill (AUS),1958-1965,42,69,8,2779,181,45.55,6,15,6
SC Williams (WI),1994-2002,88,107,9,2769,128,28.25,2,15,12
MJ Horne (NZ),1997-2003,85,113,2,2768,157,24.93,4,10,7
MD Marshall (WI),1978-1992,217,190,30,2765,92,17.28,0,12,20
Aftab Ahmed (BAN),2004-2010,112,127,10,2764,92,23.62,0,16,12
M Leyland (ENG),1928-1938,41,65,5,2764,187,46.06,9,10,6
SJ McCabe (AUS),1930-1938,39,62,5,2748,232,48.21,6,13,4
BJ Bennett (ZIM),2023-2026,80,88,8,2745,169,34.31,4,14,9
CK Kapugedera (SL),2006-2017,153,137,17,2745,96,22.87,0,13,8
B Lee (AUS),1999-2012,322,212,68,2728,64,18.94,0,8,32
B Sutcliffe (NZ),1947-1965,42,76,8,2727,230*,40.1,5,15,5
N Boje (Afr/SA),1995-2006,159,133,28,2726,129,25.96,2,8,7
MR Ramprakash (ENG),1991-2002,70,110,10,2726,154,27.26,2,13,12
FM Engineer (IND),1961-1975,51,91,4,2725,121,31.32,2,17,7
NR Mongia (IND),1994-2001,184,164,41,2714,152,22.06,1,8,10
PD Salt (ENG),2021-2026,93,87,6,2705,141*,33.39,5,13,7
Nasir Hossain (BAN),2011-2018,115,108,14,2695,100,28.67,2,14,8
C de Grandhomme (NZ),2012-2022,115,118,21,2679,120*,27.61,2,15,14
DD Ebrahim (ZIM),2001-2005,111,131,7,2668,121,21.51,1,14,16
S Matsikenyeri (ZIM),2002-2015,131,136,10,2651,90,21.03,0,15,10
GM Ritchie (AUS),1982-1987,74,95,12,2649,146,31.91,3,13,3
C Campher (IRE),2020-2026,122,113,12,2642,120,26.15,2,12,9
Zeeshan Maqsood (OMA),2015-2024,121,109,15,2642,109,28.1,3,12,6
MD Gunathilaka (SL),2015-2022,101,107,1,2641,133,24.91,2,16,5
AN Petersen (SA),2006-2015,59,85,5,2611,182,32.63,5,12,3
SM Patil (IND),1980-1986,74,89,5,2593,174,30.86,4,16,8
Asif Khan (UAE),2022-2025,94,93,14,2572,151*,32.55,3,13,6
C Washbrook (ENG),1937-1956,37,66,6,2569,195,42.81,6,12,2
Aqib Ilyas (OMA),2015-2024,88,85,9,2564,109*,33.73,2,19,5
DJ Hussey (AUS),2008-2013,108,97,9,2552,111,29,1,17,8
RR Patel (KENYA),2008-2025,132,116,21,2551,120,26.85,1,13,7
JEC Franklin (NZ),2001-2013,179,157,42,2541,122*,22.09,1,8,13
TA Blundell (NZ),2017-2025,65,92,12,2530,138,31.62,5,13,6
SM Nurse (WI),1960-1969,29,54,1,2523,258,47.6,6,10,3
Towhid Hridoy (BAN),2023-2026,104,93,12,2518,100,31.08,1,16,4
EJ Barlow (SA),1961-1970,30,57,2,2516,201,45.74,6,15,3
TL Goddard (SA),1955-1970,41,78,5,2516,112,34.46,1,18,4
TM Odoyo (Afr/KENYA),1996-2014,147,129,16,2515,111*,22.25,1,8,14
BL D'Oliveira (ENG),1966-1972,48,74,9,2514,158,38.67,5,15,4
PHKD Mendis (SL),2018-2026,84,88,13,2514,182*,33.52,5,11,5
Rohan Mustafa (UAE),2014-2023,139,128,10,2510,109,21.27,1,11,15
TD Paine (AUS/World),2009-2021,82,101,14,2506,111,28.8,1,14,7
AC Voges (AUS),2007-2016,58,64,18,2494,269*,54.21,6,9,2
CJ Anderson (NZ/USA),2012-2024,104,101,12,2489,131*,27.96,2,11,10
Yashpal Sharma (IND),1978-1985,79,99,20,2489,140,31.5,2,13,4
CJ Tavare (ENG),1980-1989,60,84,4,2475,149,30.93,2,16,6
W Bardsley (AUS),1909-1926,41,66,5,2469,193*,40.47,6,14,6
GRJ Matthews (AUS),1983-1993,92,103,21,2468,130,30.09,4,13,7
DR Smith (WI),2004-2015,148,135,6,2462,105*,19.08,1,11,19
OA Shah (ENG),2001-2009,94,91,7,2450,107*,29.16,1,15,6
MN Waller (ZIM),2009-2018,125,131,15,2449,99*,21.11,0,10,16
MA Leask (SCOT),2013-2026,170,137,23,2444,107*,21.43,1,9,10
P Roy (IND),1951-1960,43,79,4,2442,173,32.56,5,9,14
WJ Edrich (ENG),1938-1955,39,63,2,2440,219,40,6,13,3
DJ McGlew (SA),1951-1962,34,64,6,2440,255*,42.06,7,10,4
TG Evans (ENG),1946-1959,91,133,14,2439,104,20.49,2,8,17
Aaron Jones (USA),2019-2025,100,95,14,2434,123*,30.04,1,13,3
LEG Ames (ENG),1929-1939,47,72,12,2434,149,40.56,8,7,5
PG Fulton (NZ),2004-2014,84,97,7,2428,136,26.97,3,13,7
Azhar Mahmood (PAK),1996-2007,164,144,30,2421,136,21.23,3,4,14
Saim Ayub (PAK),2023-2026,92,95,4,2413,113*,26.51,3,12,12
Abdullah Shafique (PAK),2020-2025,57,79,6,2411,201,33.02,6,12,15
JHB Waite (SA),1951-1965,50,86,7,2405,134,30.44,4,16,9
Gulbadin Naib (AFG),2011-2026,174,150,31,2402,82*,20.18,0,9,15
KR Mayers (WI),2020-2025,87,97,5,2382,210*,25.89,4,7,9
PJ Hughes (AUS),2009-2014,52,74,3,2367,160,33.33,5,11,7
RR Singh (IND),1989-2001,137,115,23,2363,100,25.68,1,9,5
JJ Smit (NAM),2019-2026,125,111,29,2350,111*,28.65,1,7,7
Ishan Kishan (IND),2021-2026,74,72,5,2339,210,34.91,2,18,3
TL Seifert (NZ),2018-2026,94,87,11,2338,97*,30.76,0,17,5
WB Phillips (AUS),1982-1986,75,89,8,2337,159,28.85,2,13,2
W Rhodes (ENG),1899-1930,58,98,21,2325,179,30.19,2,11,6
Junaid Siddique (BAN),2007-2012,80,97,1,2324,106,24.2,2,14,9
RC Russell (ENG),1987-1998,94,117,23,2320,128*,24.68,2,7,8
NH Fairbrother (ENG),1987-1999,85,86,19,2311,113,34.49,1,17,3
GT Dowling (NZ),1961-1972,39,77,3,2306,239,31.16,3,11,6
WM Woodfull (AUS),1926-1934,35,54,4,2300,161,46,7,13,6
LPC Silva (SL),1999-2011,102,94,10,2299,152*,27.36,2,15,9
TE Bailey (ENG),1949-1959,61,91,14,2290,134*,29.74,1,10,7
PJP Burge (AUS),1955-1966,42,68,8,2290,181,38.16,4,12,5
DL Murray (WI),1963-1980,88,113,14,2287,91,23.1,0,13,7
SE Gregory (AUS),1890-1912,58,100,7,2282,201,24.53,4,8,12
W Madhevere (ZIM),2020-2025,127,126,9,2282,84,19.5,0,14,14
MJK Smith (ENG),1958-1972,50,78,6,2278,121,31.63,3,11,11
Mohammad Rafique (Asia/BAN),1995-2008,159,170,23,2263,111,15.39,1,6,23
PJ Cummins (AUS),2011-2025,219,193,47,2262,64*,15.49,0,3,25
RG Pollock (SA),1963-1970,23,41,4,2256,274,60.97,7,11,1
AD Gaekwad (IND),1974-1987,55,84,5,2254,201,28.53,2,11,6
A Sharafu (UAE),2020-2026,97,91,9,2249,90*,27.42,0,15,5
A Bagai (CAN),2003-2013,71,69,10,2248,137*,38.1,2,18,2
AR Patel (IND),2014-2026,180,130,35,2248,84,23.66,0,8,8
FH Allen (NZ),2021-2026,84,82,3,2245,137,28.41,3,12,8
UDU Chandana (SL),1994-2007,163,135,18,2243,92,19.17,0,7,8
CPS Chauhan (IND),1969-1981,47,75,2,2237,97,30.64,0,16,6
AW Nourse (SA),1902-1924,45,83,8,2234,111,29.78,1,15,3
GD Elliott (NZ/World),2008-2017,105,93,16,2233,115,29,2,11,7
DJ Richardson (SA),1991-1998,164,141,41,2227,109,22.27,1,9,13
JE Emburey (ENG),1978-1995,125,141,30,2214,75,19.94,0,10,19
NC Johnson (ZIM),1998-2000,61,71,3,2211,132*,32.51,5,15,5
S Ssesazi (UGA),2021-2024,88,86,10,2204,100*,29,1,17,8
R Benaud (AUS),1952-1964,63,97,7,2201,122,24.45,3,9,8
RT Robinson (ENG),1984-1989,55,75,5,2198,175,31.4,4,9,7
VS Hazare (IND),1946-1953,30,52,6,2192,164*,47.65,7,9,4
GA Headley (WI),1930-1954,22,40,4,2190,270*,60.83,10,5,2
Shaiman Anwar (UAE),2014-2019,72,72,4,2190,117*,32.2,2,17,3
RS Morton (WI),2002-2010,78,85,8,2188,110*,28.41,2,14,9
AL Wadekar (IND),1966-1974,39,73,3,2186,143,31.22,1,15,7
LG Rowe (WI),1972-1980,41,57,2,2183,302,39.69,7,8,2
Saud Shakeel (PAK),2021-2025,40,56,4,2181,208*,41.94,4,14,3
S Bau (PNG),2016-2025,116,108,10,2180,85,22.24,0,10,12
Fawad Alam (PAK),2007-2022,81,83,22,2171,168,35.59,6,8,7
Rashid Khan (AFG/ICC),2015-2026,238,168,44,2169,60*,17.49,0,6,16
W Barresi (NED),2010-2025,101,98,12,2164,137*,25.16,1,12,10
Shadab Khan (PAK),2017-2026,200,124,30,2164,86,23.02,0,8,9
JB Stollmeyer (WI),1939-1955,32,56,5,2159,160,42.33,4,12,2
AD Russell (WI),2010-2025,143,123,33,2158,92*,23.97,0,7,15
CJA Amini (PNG),2014-2024,108,100,10,2156,109,23.95,1,12,7
SM Curran (ENG),2018-2026,140,118,23,2153,95*,22.66,0,7,8
HAPW Jayawardene (SL),2000-2015,64,88,11,2151,154*,27.93,4,5,10
Rajin Saleh (BAN),2003-2008,67,89,3,2146,108*,24.95,1,13,13
Qasim Umar (PAK),1983-1987,57,74,5,2144,210,31.07,3,9,5
PW Hasaranga (SL),2017-2026,168,141,26,2138,80*,18.59,0,8,11
RL Powell (WI),1999-2005,111,103,16,2138,124,24.57,1,8,9
GS Ballance (ENG/ZIM),2013-2023,46,65,5,2137,156,35.61,5,11,4
DW Hookes (AUS),1977-1986,62,77,5,2132,143*,29.61,1,13,7
CG Macartney (AUS),1907-1926,35,55,4,2131,170,41.78,7,9,1
Basit Ali (PAK),1993-1996,69,76,7,2123,127*,30.76,2,14,8
WH Ponsford (AUS),1924-1934,29,48,4,2122,266,48.22,7,6,1
BFW de Leede (NED),2018-2026,103,94,17,2120,123,27.53,1,11,9
RA McLean (SA),1951-1964,40,73,3,2120,142,30.28,5,10,11
HJH Marshall (NZ),2000-2007,82,84,11,2118,160,29.01,3,14,4
T Stubbs (SA),2022-2026,81,84,15,2118,122,30.69,3,8,9
J Dyson (AUS),1977-1984,59,85,11,2114,127*,28.56,2,9,5
MH Mankad (IND),1946-1959,44,72,5,2109,231,31.47,5,6,7
Sami Sohail (MWI),2019-2026,70,66,20,2105,96*,45.76,0,14,4
AA Obanda (KENYA),2007-2023,100,92,6,2103,103*,24.45,1,10,8
JK Silva (SL),2011-2018,39,74,0,2099,139,28.36,3,12,6
JN Frylinck (NAM),2019-2026,128,105,19,2094,134,24.34,2,8,7
R Sandaruwan (KUW),2019-2026,80,80,3,2094,103,27.19,2,12,8
RD Rickelton (SA),2022-2026,61,73,7,2092,259,31.69,3,6,5
HDPK Dharmasena (SL),1993-2004,172,138,40,2090,69*,21.32,0,7,6
KO Otieno (KENYA),1996-2009,94,91,1,2090,144,23.22,2,12,12
SR Taylor (USA),2019-2025,81,78,3,2087,114,27.82,2,11,11
Imtiaz Ahmed (PAK),1952-1962,41,72,1,2079,209,29.28,3,11,9
CEL Ambrose (WI),1988-2000,274,241,65,2078,53,11.8,0,1,39
L Ronchi (AUS/ICC/NZ),2008-2018,122,102,15,2075,170*,23.85,1,7,13
S Samarawickrama (SL),2017-2025,83,82,8,2074,108,28.02,2,10,10
RN ten Doeschate (NED),2006-2021,57,55,19,2074,119,57.61,5,12,3
GO Jones (ENG/PNG),2004-2014,87,98,13,2067,100,24.31,1,10,3
RM Cowper (AUS),1964-1968,27,46,2,2061,307,46.84,5,10,3
PE Richardson (ENG),1956-1963,34,56,1,2061,126,37.47,5,9,1
ML Jaisimha (IND),1959-1971,39,71,4,2056,129,30.68,3,12,9
G Fowler (ENG),1982-1986,47,63,2,2051,201,33.62,3,12,5
Z Khan (Asia/IND),2000-2014,309,232,61,2036,75,11.9,0,3,44
JP Crawley (ENG),1994-2003,50,73,10,2035,156*,32.3,4,11,6
CJL Rogers (AUS),2008-2015,25,48,1,2015,173,42.87,5,14,1
Saleem Elahi (PAK),1995-2004,61,71,5,2015,135,30.53,4,10,9
S Ramesh (IND),1999-2001,43,61,2,2013,143,34.11,2,14,6
S Wettimuny (SL),1982-1987,58,76,2,2007,190,27.12,2,10,6
RR Rossouw (SA),2014-2023,65,62,8,2006,132,37.14,5,10,10
DN Sardesai (IND),1961-1972,30,55,4,2001,212,39.23,5,9,4
TW Hayward (ENG),1896-1909,35,60,2,1999,137,34.46,3,12,7
Aarif Sheikh (NEP),2018-2026,114,95,13,1997,84,24.35,0,9,7
MA Noble (AUS),1898-1909,42,73,7,1997,133,30.25,1,16,4
Asif Mujtaba (PAK),1986-1997,91,96,17,1996,113*,25.26,1,14,13
SR Mukkamalla (USA),2022-2026,58,57,7,1992,137*,39.84,4,13,5
Muhammad Tanveer (QAT),2019-2025,72,66,16,1980,88*,39.6,0,15,3
RS Madugalle (SL),1979-1988,84,95,9,1979,103,23.01,1,10,8
Waqar Younis (PAK),1989-2003,349,259,66,1979,45,10.25,0,0,36
TLW Cooper (NED),2010-2023,65,63,6,1978,101,34.7,1,15,3
G Pullar (ENG),1959-1963,28,49,4,1974,175,43.86,4,12,3
GP Swann (ENG),2000-2013,178,140,37,1974,85,19.16,0,5,10
WIA Fernando (SL),2016-2025,90,87,3,1965,127,23.39,4,9,10
EAB Rowan (SA),1935-1951,26,50,5,1965,236,43.66,3,12,4
JM Parks (ENG),1954-1968,46,68,7,1962,108*,32.16,2,9,3
Anamul Haque (BAN),2012-2025,77,81,2,1959,120,24.79,3,6,10
Sohail Ahmed (BHR),2022-2026,79,74,28,1957,80*,42.54,0,16,6
W Jaffer (IND),2000-2008,33,60,1,1954,212,33.11,5,11,7
Ahmed Faiz (MAS),2019-2026,106,89,9,1952,105*,24.4,1,8,6
JM Brearley (ENG),1976-1981,64,90,6,1952,91,23.23,0,12,12
JP Inglis (AUS),2022-2026,84,79,10,1950,120*,28.26,4,6,7
VD Philander (SA),2007-2020,101,117,27,1944,74,21.6,0,8,11
UC Hathurusingha (SL),1991-1999,61,77,2,1943,83,25.9,0,12,5
RB McCosker (AUS),1975-1982,39,60,5,1942,127,35.3,4,11,7
M Muralidaran (Asia/ICC/SL),1992-2011,495,328,119,1936,67,9.26,0,1,59
BM Laird (AUS),1979-1982,44,63,5,1935,117*,33.36,1,13,2
KMDN Kulasekara (SL),2003-2017,263,181,47,1933,73,14.42,0,5,21
MH Denness (ENG),1969-1975,40,56,5,1931,188,37.86,4,8,3
AC MacLaren (ENG),1894-1909,35,61,4,1931,140,33.87,5,8,4
Noor Ali Zadran (AFG),2009-2024,76,77,2,1930,114,25.73,1,11,5
JF Reid (NZ),1979-1986,44,55,4,1929,180,37.82,6,6,4
PA Strang (ZIM),1994-2001,119,114,34,1929,106*,24.11,1,2,8
PJ Moor (IRE/ZIM),2014-2025,85,94,10,1925,92*,22.91,0,11,7
SA Thomson (NZ),1990-1996,75,87,14,1922,120*,26.32,1,10,5
PN Kirsten (SA),1991-1994,52,62,8,1919,104,35.53,1,13,2
BL Cairns (NZ),1974-1985,121,130,14,1915,64,16.5,0,4,13
B McMullen (SCOT),2022-2026,65,59,7,1911,151,36.75,4,11,3
SV Samson (IND),2015-2026,78,68,10,1909,111,32.91,4,9,7
KU Carty (WI),2022-2026,61,63,6,1908,170,33.47,4,5,4
LS Livingstone (ENG),2017-2025,100,85,16,1903,124*,27.57,2,6,7
Azmatullah Omarzai (AFG),2021-2026,109,90,19,1901,149*,26.77,1,9,10
Muhammad Usman (UAE),2016-2022,85,80,11,1899,102*,27.52,1,7,5
J Srinath (IND),1991-2003,296,213,59,1892,76,12.28,0,5,32
KH Prajapati (OMA),2021-2024,84,82,5,1891,103,24.55,2,12,9
DA Gunawardene (SL),1998-2006,67,72,1,1889,132,26.6,1,12,6
PH Parfitt (ENG),1961-1972,37,52,6,1882,131*,40.91,7,6,5
Alok Kapali (BAN),2002-2011,93,107,6,1876,115,18.57,1,7,13
JM How (NZ),2005-2011,65,77,2,1874,139,24.98,1,11,7
JA Burns (AUS/ITA),2014-2025,37,54,3,1859,180,36.45,5,9,8
CM Spearman (NZ),1995-2001,70,87,2,1858,112,21.85,1,8,9
JN Loftie-Eaton (NAM),2021-2026,106,89,13,1857,101,24.43,1,8,6
AB Agarkar (IND),1998-2007,221,154,31,1855,109*,15.08,1,3,19
Meet Bhavsar (KUW),2019-2026,76,74,7,1855,89,27.68,0,13,4
Tanzid Hasan (BAN),2023-2026,76,75,6,1853,107,26.85,1,16,10
KS More (IND),1984-1993,143,129,36,1848,73,19.87,0,7,12
Basil Hameed (UAE),2019-2026,113,99,19,1847,71,23.08,0,7,6
HMRKB Herath (SL),1999-2018,181,180,46,1847,80*,13.78,0,3,26
R Illingworth (ENG),1958-1973,64,92,11,1841,113,22.72,2,5,7
RES Wyatt (ENG),1927-1937,40,64,6,1839,149,31.7,2,12,6
M van Lingen (NAM),2021-2024,70,66,5,1836,133,30.09,5,7,4
Nasir Jamshed (PAK),2008-2015,68,70,4,1832,112,27.75,3,10,7
DN Patel (NZ),1987-1997,112,129,18,1823,99,16.42,0,6,16
Saleem Yousuf (PAK),1982-1990,118,106,24,1823,91*,22.23,0,9,7
Kushal Malla (NEP),2019-2025,99,89,13,1816,137*,23.89,2,8,5
JL Smith (ENG),2023-2026,44,58,4,1808,184*,33.48,2,11,5
AF Giles (ENG),1997-2006,116,116,26,1806,59,20.06,0,4,11
Afif Hossain (BAN),2018-2026,107,96,16,1803,93*,22.53,0,6,9
K Verreynne (SA),2020-2025,50,64,8,1799,136*,32.12,4,8,4
Karanbir Singh (AUT),2024-2026,43,42,5,1797,115,48.56,2,17,3
JM Kemp (Afr/SA),2001-2007,97,79,21,1795,100*,30.94,1,12,8
NT Paranavitana (SL),2009-2012,32,60,5,1792,111,32.58,2,11,9
RJ Burns (ENG),2018-2022,32,59,0,1789,133,30.32,3,11,9
JG Bethell (ENG),2024-2026,58,60,7,1776,154,33.5,3,11,1
BC Booth (AUS),1961-1966,29,48,6,1773,169,42.21,5,10,5
CWJ Athey (ENG),1980-1988,54,71,4,1767,142*,26.37,3,8,3
KA Maharaj (SA),2016-2026,172,145,23,1765,84,14.46,0,6,24
Chirag Suri (UAE),2018-2023,68,68,3,1763,115,27.12,2,12,6
NS Dhaliwal (CAN),2019-2026,67,64,6,1761,87,30.36,0,14,5
K Kadowaki-Fleming (JPN),2022-2026,49,49,4,1760,114,39.11,2,12,1
G Malla (NEP),2014-2023,82,76,2,1759,107,23.77,1,9,4
GA Faulkner (SA),1906-1924,25,47,4,1754,204,40.79,4,8,2
JM Parker (NZ),1973-1981,60,83,2,1746,121,21.55,3,6,5
PSP Handscomb (AUS),2016-2023,44,57,8,1744,117,35.59,3,9,4
Faisal Khan (KSA),2019-2025,61,61,5,1743,101,31.12,1,10,7
PWA Mulder (SA),2017-2026,69,76,13,1743,367*,27.66,3,3,9
AT Rayudu (IND),2013-2019,61,55,15,1736,124*,43.4,3,10,5
NM Lyon (AUS),2011-2025,172,195,60,1732,47,12.82,0,0,21
MG Bracewell (NZ),2022-2026,100,85,21,1729,140,27.01,2,6,6
P Willey (ENG),1976-1986,52,74,7,1722,102*,25.7,2,10,5
T de Zorzi (SA),2023-2026,46,59,3,1717,177,30.66,3,5,3
ZE Green (NAM),2019-2026,130,100,18,1711,75*,20.86,0,5,5
L Siaka (PNG),2014-2025,111,104,5,1711,109,17.28,1,3,13
PA Patel (IND),2002-2018,65,74,11,1706,95,27.07,0,10,6
Vikramjit Singh (NED),2019-2025,75,72,1,1704,110,24,1,9,4
MF Maharoof (SL),2004-2016,139,114,23,1702,72,18.7,0,5,5
Raqibul Hasan (BAN),2008-2011,69,77,8,1695,89,24.56,0,9,8
Faheem Ashraf (PAK),2017-2026,147,117,19,1691,91,17.25,0,6,12
IA Karim (KENYA),2011-2024,73,63,17,1687,112,36.67,2,9,2
K Rabada (SA),2014-2026,258,185,55,1687,71,12.97,0,1,29
Mohammad Nadeem (OMA),2015-2026,115,88,28,1686,77*,28.1,0,9,4
Ayaan Khan (OMA),2021-2024,83,75,7,1679,105*,24.69,1,6,5
